name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rml-cc test-case RMLTC-CC-0003-NELb,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,2,1,0.1022,3,0.06,0.08,0.14,0.68,0.0,6626377728,165412864,6791790592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,3,1,0.2047,3,0.07,0.21,0.28,1.35,0.0,6585479168,165412864,6750892032,0,1879,0,52527104,0,248,107,0,0,0,0,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,4,1,0.3072,3,0.07,0.36,0.43,1.98,0.01,6586097664,165412864,6751510528,0,6863,0,134209536,0,412,311,0,0,0,0,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,5,1,0.4084,3,0.16,0.45,0.61,2.56,0.05,6588420096,165412864,6753832960,0,7852,0,158261248,0,538,465,0,0,0,0,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,6,1,0.5099,3,0.24,0.52,0.76,3.19,0.07,6596587520,165412864,6762000384,0,7956,0,159014912,0,586,521,0,0,0,0,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,7,1,0.6122,3,0.34,0.63,0.97,3.76,0.09,6598696960,165412864,6764109824,213,8015,10756096,159506432,128,621,584,39,42,4874,6577,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,8,1,0.7147,3,0.46,0.79,1.25,4.28,0.1,6650191872,165412864,6815604736,766,8015,53960704,159506432,562,621,691,39,44,4874,6785,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,9,1,0.8161,3,0.61,0.82,1.43,4.89,0.12,6652166144,165412864,6817579008,983,8015,70041600,159506432,604,621,819,43,52,5354,8362,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,10,1,0.919,3,0.86,0.89,1.75,5.37,0.12,6665228288,165412864,6830641152,1117,8015,79568896,159506432,638,621,902,54,65,11961,10653,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,11,1,1.0205,3,1.07,0.94,2.01,5.9,0.13,6659186688,165412864,6824599552,1277,8015,83861504,159506432,660,621,986,70,73,19888,11442,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,12,1,1.1222,3,1.19,0.99,2.1799999999999997,6.52,0.15,6658035712,165412864,6823448576,1549,8015,96657408,159506432,795,621,1087,78,82,20723,12792,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,13,1,1.2236,3,1.43,1.04,2.4699999999999998,7.02,0.17,6663254016,165412864,6828666880,1792,8015,108273664,159506432,883,621,1191,92,93,36034,13940,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,14,1,1.325,3,1.62,1.07,2.6900000000000004,7.59,0.2,6671458304,165412864,6836871168,1996,8015,116523008,159506432,911,621,1309,92,93,36034,13940,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,15,1,1.4263,3,1.81,1.1,2.91,8.17,0.2,6680440832,165412864,6845853696,2093,8015,123633664,159506432,944,621,1360,92,93,36034,13940,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,16,1,1.5277,3,2.05,1.12,3.17,8.7,0.2,6695141376,165412864,6860554240,2123,8015,124272640,159506432,948,621,1370,94,94,36200,14030,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,17,1,1.6292,3,2.27,1.14,3.41,9.25,0.21,6702997504,165412864,6868410368,2194,8015,128892928,159506432,1015,621,1391,96,95,36358,14116,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,18,1,1.7305,3,2.44,1.19,3.63,9.83,0.21,6814445568,165412864,6979858432,2240,8015,137371648,159506432,1046,621,1421,96,95,36358,14116,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,19,1,1.8334,3,2.57,1.22,3.79,10.47,0.22,6858346496,165412864,7023759360,2294,8015,149323776,159506432,1087,621,1447,96,95,36358,14116,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,20,1,1.9349,3,2.58,1.23,3.81,11.27,0.22,6857211904,165412864,7022624768,2294,8015,149323776,159506432,1087,621,1447,97,97,36480,14358,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,21,1,2.0365,3,2.6,1.25,3.85,12.05,0.22,6866501632,165412864,7031914496,2294,8015,149323776,159506432,1087,621,1447,97,97,36480,14358,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,22,1,2.1381,3,2.61,1.25,3.86,12.84,0.22,6865281024,165412864,7030693888,2294,8015,149323776,159506432,1087,621,1447,97,100,36480,14628,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,23,1,2.2395,3,2.66,1.33,3.99,13.46,0.25,6578552832,165412864,6743965696,2296,8120,149356544,160309248,1093,667,1517,94,94,36214,14092,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,24,1,2.3414,3,2.72,1.41,4.13,14.11,0.27,6587346944,165412864,6752759808,2296,8232,149356544,161300480,1093,725,1587,94,94,36214,14092,0,0,0,0
rml-cc test-case RMLTC-CC-0003-NELb,1,25,1,2.4439,3,2.8,1.5,4.3,14.75,0.28,6577008640,165412864,6742421504,2296,8232,149356544,161300480,1093,725,1587,94,94,36214,14092,0,0,0,0
