name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rml-cc test-case RMLTC-CC-0009-DUP-Bag,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-Bag,1,2,1,0.1018,3,0.05,0.1,0.15000000000000002,0.66,0.01,6602944512,164888576,6767833088,0,30,0,376832,0,18,24,2,1,1592,94,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-Bag,1,3,1,0.2034,3,0.05,0.23,0.28,1.31,0.01,6558498816,164888576,6723387392,0,2747,0,63324160,0,314,133,2,1,1592,94,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-Bag,1,4,1,0.306,3,0.06,0.36,0.42,1.98,0.01,6510665728,164888576,6675554304,0,6458,0,124231680,0,428,321,2,1,1592,94,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-Bag,1,5,1,0.4074,3,0.16,0.45,0.61,2.54,0.07,6513905664,164888576,6678794240,0,7424,0,146014208,0,579,509,2,2,1592,242,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-Bag,1,6,1,0.5093,3,0.28,0.62,0.9,3.03,0.08,6552432640,164888576,6717321216,0,7462,0,146292736,0,600,531,3,3,1714,336,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-Bag,1,7,1,0.6117,3,0.39,0.73,1.12,3.6,0.11,6550949888,164888576,6715838464,213,7520,10756096,146792448,159,639,603,5,5,1880,516,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-Bag,1,8,1,0.7141,3,0.5,0.89,1.3900000000000001,4.12,0.12,6602735616,164888576,6767624192,761,7540,53919744,146956288,591,652,716,40,48,6436,7207,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-Bag,1,9,1,0.8155,3,0.64,0.91,1.55,4.75,0.14,6605365248,164888576,6770253824,989,7540,70115328,146956288,636,652,841,40,49,6436,7297,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-Bag,1,10,1,0.9169,3,0.82,0.94,1.7599999999999998,5.34,0.15,6611329024,164888576,6776217600,1119,7540,79568896,146956288,669,652,920,43,52,6660,7635,0,0,0,0
