name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rml-cc test-case RMLTC-CC-0009-DUP-List,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,2,1,0.1019,3,0.06,0.09,0.15,0.66,0.01,6587682816,164888576,6752571392,2,0,32768,0,2,0,4,35,40,4556,6397,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,3,1,0.2034,3,0.07,0.22,0.29000000000000004,1.3,0.01,6542147584,164888576,6707036160,2,2434,32768,59047936,2,109,111,37,42,4708,6605,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,4,1,0.3059,3,0.08,0.36,0.44,1.95,0.02,6542548992,164888576,6707437568,2,6489,32768,125493248,2,221,317,38,44,4774,6857,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,5,1,0.4072,3,0.2,0.49,0.69,2.47,0.06,6532091904,164888576,6696980480,2,7392,32768,146440192,2,357,482,39,45,4868,6951,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,6,1,0.5086,3,0.29,0.54,0.8300000000000001,3.1,0.08,6568329216,164888576,6733217792,2,7472,32768,147062784,2,408,540,40,46,4962,7045,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,7,1,0.6108,3,0.36,0.66,1.02,3.7,0.1,6582489088,164888576,6747377664,320,7520,20340736,147472384,237,442,613,42,48,5128,7225,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,8,1,0.7137,3,0.47,0.79,1.26,4.26,0.11,6615195648,164888576,6780084224,775,7520,54149120,147472384,522,442,714,42,48,5128,7225,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,9,1,0.8153,3,0.63,0.82,1.45,4.87,0.13,6627512320,164888576,6792400896,965,7520,69918720,147472384,566,442,841,42,49,5128,7315,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,10,1,0.9174,3,0.83,0.86,1.69,5.42,0.15,6638682112,164888576,6803570688,1117,7550,79601664,147849216,590,460,946,46,51,6864,7914,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,11,1,1.0187,3,0.99,0.87,1.8599999999999999,6.04,0.16,6648180736,164888576,6813069312,1287,7550,84238336,147849216,621,460,1034,46,52,6864,8000,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,12,1,1.1201,3,1.1,0.92,2.02,6.67,0.18,6670585856,164888576,6835474432,1549,7550,96690176,147849216,723,460,1133,46,52,6864,8000,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,13,1,1.2215,3,1.28,0.97,2.25,7.22,0.2,6660001792,164888576,6824890368,1790,7550,108273664,147849216,823,460,1239,46,52,6864,8000,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,14,1,1.3229,3,1.51,1.01,2.52,7.72,0.23,6657945600,164888576,6822834176,1929,7590,114155520,148357120,846,483,1358,54,56,10329,8438,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,15,1,1.4245,3,1.67,1.08,2.75,8.28,0.25,6670385152,164888576,6835273728,2091,7600,123633664,148439040,886,489,1437,54,58,10329,8626,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,16,1,1.5266,3,1.94,1.11,3.05,8.79,0.25,6672592896,164888576,6837481472,2119,7600,124067840,148439040,889,489,1445,54,58,10329,8626,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,17,1,1.6286,3,2.2,1.13,3.33,9.31,0.25,6684667904,164888576,6849556480,2192,7600,128892928,148439040,936,489,1468,54,58,10329,8626,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,18,1,1.7301,3,2.35,1.15,3.5,9.94,0.26,6702809088,164888576,6867697664,2236,7600,137265152,148439040,963,489,1499,54,58,10329,8626,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,19,1,1.8314,3,2.51,1.23,3.7399999999999998,10.49,0.26,6841520128,164888576,7006408704,2277,7600,144261120,148439040,975,489,1524,60,64,10797,9274,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,20,1,1.9331,3,2.57,1.24,3.8099999999999996,11.22,0.26,6849695744,164888576,7014584320,2291,7600,149323776,148439040,1003,489,1529,60,64,10797,9274,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,21,1,2.0347,3,2.59,1.25,3.84,12.0,0.27,6849761280,164888576,7014649856,2291,7600,149323776,148439040,1003,489,1529,60,67,10797,9544,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,22,1,2.1361,3,2.6,1.26,3.8600000000000003,12.79,0.27,6849761280,164888576,7014649856,2291,7600,149323776,148439040,1003,489,1529,60,68,10797,9741,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,23,1,2.2374,3,2.62,1.32,3.9400000000000004,13.48,0.28,6583779328,164888576,6748667904,2291,7650,149323776,148807680,1003,518,1563,60,69,10797,9958,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,24,1,2.3387,3,2.7,1.37,4.07,14.12,0.32,6586413056,164888576,6751301632,2291,7788,149323776,149921792,1003,601,1649,60,64,10760,9740,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,25,1,2.4411,3,2.77,1.44,4.21,14.78,0.32,6586671104,164888576,6751559680,2291,7824,149323776,150290432,1003,631,1669,60,64,10760,9740,0,0,0,0
rml-cc test-case RMLTC-CC-0009-DUP-List,1,26,1,2.5425,3,2.85,1.54,4.390000000000001,15.39,0.33,6576914432,164888576,6741803008,2291,7860,149323776,150659072,1003,655,1695,60,64,10760,9740,0,0,0,0
