name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rml-core test-case RMLTC0000-JSON,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rml-core test-case RMLTC0000-JSON,1,2,1,0.102,3,0.04,0.08,0.12,0.67,0.01,5969661952,3403776,5973065728,2,0,32768,0,1,0,4,0,0,0,0,0,0,0,0
rml-core test-case RMLTC0000-JSON,1,3,1,0.2045,3,0.05,0.19,0.24,1.35,0.02,5950013440,3403776,5953417216,164,765,2686976,34816000,27,54,125,0,0,0,0,0,0,0,0
rml-core test-case RMLTC0000-JSON,1,4,1,0.3075,3,0.08,0.41,0.49,1.9,0.03,5920047104,3403776,5923450880,164,5572,2686976,113721344,27,208,330,8,13,884,1514,0,0,0,0
rml-core test-case RMLTC0000-JSON,1,5,1,0.4106,3,0.14,0.56,0.7000000000000001,2.47,0.04,5925105664,3403776,5928509440,190,7830,3112960,164560896,30,326,500,24,35,3372,5119,0,0,0,0
rml-core test-case RMLTC0000-JSON,1,6,1,0.518,3,0.37,0.64,1.01,2.94,0.09,5934981120,3403776,5938384896,190,8033,3112960,166207488,30,444,643,28,39,3630,5591,0,0,0,0
rml-core test-case RMLTC0000-JSON,1,7,1,0.6193,3,0.45,0.7,1.15,3.6,0.09,5965307904,3403776,5968711680,190,8043,3112960,166289408,30,446,649,29,39,3721,5591,0,0,0,0
rml-core test-case RMLTC0000-JSON,1,8,1,0.7219,3,0.53,1.03,1.56,3.95,0.11,5951672320,3403776,5955076096,549,8071,28409856,166526976,622,467,754,35,45,4233,6139,0,0,0,0
rml-core test-case RMLTC0000-JSON,1,9,1,0.8283,3,0.6,1.32,1.92,4.43,0.11,5958426624,3403776,5961830400,851,8071,52707328,166526976,929,467,824,36,45,4293,6139,0,0,0,0
rml-core test-case RMLTC0000-JSON,1,10,1,0.9298,3,0.71,1.43,2.1399999999999997,5.0,0.13,5963403264,3403776,5966807040,1114,8071,70983680,166526976,1107,467,950,36,46,4293,6225,0,0,0,0
rml-core test-case RMLTC0000-JSON,1,11,1,1.0314,3,0.91,1.45,2.36,5.57,0.15,5968707584,3403776,5972111360,1311,8091,79896576,166690816,1147,478,1077,36,46,4293,6225,0,0,0,0
rml-core test-case RMLTC0000-JSON,1,12,1,1.1339,3,1.06,1.47,2.5300000000000002,6.2,0.16,5974302720,3403776,5977706496,1400,8091,85581824,166690816,1166,478,1137,36,46,4293,6225,0,0,0,0
rml-core test-case RMLTC0000-JSON,1,13,1,1.2354,3,1.18,1.54,2.7199999999999998,6.79,0.17,5982982144,3403776,5986385920,1667,8091,95477760,166690816,1294,478,1245,36,46,4293,6225,0,0,0,0
rml-core test-case RMLTC0000-JSON,1,14,1,1.3369,3,1.36,1.63,2.99,7.32,0.19,5986619392,3403776,5990023168,1831,8091,105562112,166690816,1403,478,1323,36,48,4293,6397,0,0,0,0
rml-core test-case RMLTC0000-JSON,1,15,1,1.4383,3,1.52,1.71,3.23,7.84,0.21,5989912576,3403776,5993316352,2094,8091,115490816,166690816,1510,478,1447,40,49,4579,6487,0,0,0,0
