name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rml-star test-case RMLSTARTC001b,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rml-star test-case RMLSTARTC001b,1,2,1,0.1016,3,0.08,0.1,0.18,0.64,0.0,5627908096,3403776,5631311872,0,0,0,0,0,0,0,12,21,2170,3756,0,0,0,0
rml-star test-case RMLSTARTC001b,1,3,1,0.2044,3,0.09,0.19,0.28,1.33,0.02,5620756480,3403776,5624160256,158,66,2588672,17301504,35,23,110,15,25,2485,4132,0,0,0,0
rml-star test-case RMLSTARTC001b,1,4,1,0.3063,3,0.1,0.35,0.44999999999999996,1.97,0.02,5610102784,3403776,5613506560,158,4879,2588672,105488384,35,189,315,16,26,2551,4258,0,0,0,0
rml-star test-case RMLSTARTC001b,1,5,1,0.4087,3,0.11,0.48,0.59,2.62,0.03,5599232000,3403776,5602635776,170,8001,2785280,174522368,37,320,495,16,26,2551,4258,0,0,0,0
rml-star test-case RMLSTARTC001b,1,6,1,0.5114,3,0.36,0.6,0.96,3.02,0.07,5601427456,3403776,5604831232,170,8221,2785280,176472064,37,440,651,17,27,2645,4352,0,0,0,0
rml-star test-case RMLSTARTC001b,1,7,1,0.6127,3,0.49,0.68,1.17,3.59,0.09,5621186560,3403776,5624590336,170,8285,2785280,176947200,37,473,690,19,27,2765,4352,0,0,0,0
rml-star test-case RMLSTARTC001b,1,8,1,0.7155,3,0.57,0.86,1.43,4.11,0.1,5615411200,3403776,5618814976,310,8323,10715136,177266688,154,498,747,21,32,2931,4850,0,0,0,0
rml-star test-case RMLSTARTC001b,1,9,1,0.818,3,0.6,1.31,1.9100000000000001,4.4,0.11,5625290752,3403776,5628694528,773,8343,44523520,177430528,1022,511,852,21,33,2931,4936,0,0,0,0
rml-star test-case RMLSTARTC001b,1,10,1,0.9218,3,0.72,1.41,2.13,4.98,0.13,5659619328,3403776,5663023104,1008,8343,60203008,177430528,1158,511,962,21,33,2931,4936,0,0,0,0
