name,run,index,step,timestamp,version,cpu_user,cpu_system,cpu_user_system,cpu_idle,cpu_iowait,memory_ram,memory_swap,memory_ram_swap,disk_read_count,disk_write_count,disk_read_bytes,disk_write_bytes,disk_read_time,disk_write_time,disk_busy_time,network_received_count,network_sent_count,network_received_bytes,network_sent_bytes,network_received_error,network_sent_error,network_received_drop,network_sent_drop
rml-star test-case RMLSTARTC009,1,1,1,0.0,3,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rml-star test-case RMLSTARTC009,1,2,1,0.1025,3,0.07,0.1,0.17,0.64,0.02,5596999680,3403776,5600403456,0,28,0,294912,0,28,30,3,13,198,2958,0,0,0,0
rml-star test-case RMLSTARTC009,1,3,1,0.204,3,0.12,0.26,0.38,1.21,0.02,5591678976,3403776,5595082752,0,773,0,31490048,0,118,122,21,28,4785,4710,0,0,0,0
rml-star test-case RMLSTARTC009,1,4,1,0.3195,3,0.17,0.52,0.6900000000000001,1.73,0.07,5580189696,3403776,5583593472,0,6342,0,123559936,0,341,344,33,35,19716,5400,0,0,0,0
rml-star test-case RMLSTARTC009,1,5,1,0.4247,3,0.44,0.69,1.13,2.08,0.08,5586558976,3403776,5589962752,0,7351,0,152068096,0,472,492,34,35,19776,5400,0,0,0,0
rml-star test-case RMLSTARTC009,1,6,1,0.5378,3,0.57,0.77,1.3399999999999999,2.72,0.12,5596217344,3403776,5599621120,0,7512,0,153362432,0,563,606,35,36,19870,5494,0,0,0,0
rml-star test-case RMLSTARTC009,1,7,1,0.6396,3,0.68,0.87,1.55,3.3,0.13,5597425664,3403776,5600829440,0,7554,0,153698304,0,593,648,37,41,20036,5992,0,0,0,0
rml-star test-case RMLSTARTC009,1,8,1,0.741,3,0.72,1.32,2.04,3.57,0.15,5581688832,3403776,5585092608,376,7570,27115520,153845760,975,606,755,38,41,20096,5992,0,0,0,0
rml-star test-case RMLSTARTC009,1,9,1,0.8429,3,0.77,1.63,2.4,4.01,0.16,5623283712,3403776,5626687488,655,7570,49471488,153845760,1587,606,834,42,41,20420,5992,0,0,0,0
rml-star test-case RMLSTARTC009,1,10,1,0.9452,3,0.9,1.73,2.63,4.57,0.18,5628342272,3403776,5631746048,877,7570,66748416,153845760,1771,606,950,42,41,20420,5992,0,0,0,0
rml-star test-case RMLSTARTC009,1,11,1,1.0466,3,1.07,1.75,2.8200000000000003,5.15,0.2,5629931520,3403776,5633335296,1109,7570,76079104,153845760,1810,606,1074,42,43,20420,6292,0,0,0,0
rml-star test-case RMLSTARTC009,1,12,1,1.154,3,1.22,1.79,3.01,5.8,0.21,5639847936,3403776,5643251712,1175,7570,81649664,153845760,1833,606,1130,42,43,20420,6292,0,0,0,0
rml-star test-case RMLSTARTC009,1,13,1,1.2553,3,1.34,1.88,3.2199999999999998,6.37,0.23,5650550784,3403776,5653954560,1468,7570,92266496,153845760,2038,606,1251,44,45,21175,6480,0,0,0,0
rml-star test-case RMLSTARTC009,1,14,1,1.3572,3,1.49,2.02,3.51,6.87,0.24,5654491136,3403776,5657894912,1603,7570,100925440,153845760,2236,606,1331,45,46,21235,6570,0,0,0,0
rml-star test-case RMLSTARTC009,1,15,1,1.4593,3,1.65,2.13,3.78,7.38,0.27,5668175872,3403776,5671579648,1856,7570,110616576,153845760,2404,606,1466,45,47,21235,6656,0,0,0,0
rml-star test-case RMLSTARTC009,1,16,1,1.5624,3,1.83,2.19,4.02,7.94,0.3,5681401856,3403776,5684805632,2043,7570,119504896,153845760,2476,606,1570,45,47,21235,6656,0,0,0,0
rml-star test-case RMLSTARTC009,1,17,1,1.6732,3,2.03,2.22,4.25,8.58,0.3,5689004032,3403776,5692407808,2091,7570,123600896,153845760,2492,606,1611,46,49,21295,6764,0,0,0,0
rml-star test-case RMLSTARTC009,1,18,1,1.7753,3,2.29,2.23,4.52,9.11,0.3,5705256960,3403776,5708660736,2119,7570,124035072,153845760,2496,606,1621,46,49,21295,6764,0,0,0,0
rml-star test-case RMLSTARTC009,1,19,1,1.8771,3,2.47,2.26,4.73,9.71,0.31,5704884224,3403776,5708288000,2123,7570,124354560,153845760,2500,606,1629,50,49,21587,6764,0,0,0,0
rml-star test-case RMLSTARTC009,1,20,1,1.9789,3,2.47,2.26,4.73,10.52,0.31,5704884224,3403776,5708288000,2123,7570,124354560,153845760,2500,606,1629,50,49,21587,6764,0,0,0,0
rml-star test-case RMLSTARTC009,1,21,1,2.0807,3,2.47,2.26,4.73,11.32,0.31,5704884224,3403776,5708288000,2123,7570,124354560,153845760,2500,606,1629,50,49,21587,6764,0,0,0,0
rml-star test-case RMLSTARTC009,1,22,1,2.182,3,2.49,2.3,4.79,12.07,0.31,5615198208,3403776,5618601984,2123,7572,124354560,153853952,2500,608,1633,50,49,21587,6764,0,0,0,0
rml-star test-case RMLSTARTC009,1,23,1,2.2833,3,2.57,2.33,4.9,12.7,0.34,5616463872,3403776,5619867648,2123,7702,124354560,154877952,2500,681,1721,45,42,21161,6090,0,0,0,0
rml-star test-case RMLSTARTC009,1,24,1,2.3849,3,2.66,2.41,5.07,13.33,0.36,5606404096,3403776,5609807872,2123,7763,124354560,155475968,2500,728,1766,45,42,21161,6090,0,0,0,0
rml-star test-case RMLSTARTC009,1,25,1,2.4862,3,2.7,2.49,5.19,14.01,0.36,5598150656,3403776,5601554432,2123,7763,124354560,155475968,2500,728,1766,45,42,21161,6090,0,0,0,0
